message
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A3171EX, visit 2023-05-24/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A4340EY, visit 2023-05-21/SUNDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A6590EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=BASIC, prisonCode=DMI), prison code DMI prisoner id A8930DM, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A2885EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3337EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A3545ER, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A6380AM, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0373EP, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A4367EW, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A5467EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8117CA, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0543AE, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A6890EQ, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0041AG, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A1153EY, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A8074AG, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A1002DD, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A6226EW, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A6905EM, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3478AG, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A0815CW, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A0103EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A2398EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A7440EM, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=NLI), prison code DMI prisoner id A3171EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8113EX, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A7634EW, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A8464EW, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3568CH, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A3891EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A4505EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0963EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A3173EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A1032EY, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A4987EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A7603CV, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A4002EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A3173EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A2406EX, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=ENHANCED, prisonCode=DMI), prison code DMI prisoner id A9923EX, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A0104EY, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=U, incentiveLevel=STANDARD, prisonCode=DMI), prison code DMI prisoner id A4724ET, visit 2023-05-17/WEDNESDAY/09:30 <> 11:30 room:Visits Main Hall!
Migration exception: getNearestSessionTemplate : Could not find any matching SessionTemplates matching prisoner : PrisonerDto(category=C, incentiveLevel=STANDARD, prisonCode=NLI), prison code DMI prisoner id A6882AK, visit 2023-05-17/WEDNESDAY/13:45 <> 15:45 room:Visits Main Hall!
